Distancia 0 mm ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,V_Rojo,V_Verde,V_Azul,,,,HORA,Numero_bits, Error_total,,HORA,Numero_bits, Error_total,,HORA,Numero_bits, Error_total,,HORA,Numero_bits, Error_total,,HORA,Numero_bits, Error_total,,Numero Bits,Error total,,Numero Bits,Error total,,
7:25:51 p. m.,0.03,0,1.64,,7:24:15 p. m.,0.03,0,1.62,,7:22:30 p. m.,0.03,0,1.62,,7:20:47 p. m.,0.03,0,1.64,,7:19:11 p. m.,0.03,0,1.68,,0.03,0,1.64,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:25:53 p. m.,0.03,0,1.7,,7:24:16 p. m.,0.03,0,1.72,,7:22:32 p. m.,0.03,0,1.74,,7:20:49 p. m.,0.03,0,1.69,,7:19:13 p. m.,0.03,0,1.81,,0.03,0,1.732,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:25:54 p. m.,0.03,0,2.01,,7:24:18 p. m.,0.03,0,2.02,,7:22:34 p. m.,0.03,0,2.07,,7:20:51 p. m.,0.03,0,2,,7:19:15 p. m.,0.04,0,2.1,,0.032,0,2.04,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:25:56 p. m.,0.04,0,2.09,,7:24:20 p. m.,0.04,0,2.14,,7:22:36 p. m.,0.04,0,2.09,,7:20:52 p. m.,0.04,0,2.14,,7:19:16 p. m.,0.04,0,2.14,,0.04,0,2.12,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:25:58 p. m.,0.04,0,1.86,,7:24:22 p. m.,0.04,0,1.85,,7:22:37 p. m.,0.04,0,1.87,,7:20:54 p. m.,0.04,0,1.91,,7:19:18 p. m.,0.04,0,1.89,,0.04,0,1.876,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:00 p. m.,0.05,0,1.63,,7:24:23 p. m.,0.04,0,1.6,,7:22:39 p. m.,0.05,0,1.65,,7:20:56 p. m.,0.04,0,1.67,,7:19:20 p. m.,0.05,0,1.62,,0.046,0,1.634,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:02 p. m.,0.05,0,1.85,,7:24:25 p. m.,0.05,0,1.78,,7:22:41 p. m.,0.05,0,1.79,,7:20:58 p. m.,0.05,0,1.8,,7:19:22 p. m.,0.05,0,1.79,,0.05,0,1.802,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:03 p. m.,0.05,0,2.1,,7:24:27 p. m.,0.05,0,2.09,,7:22:43 p. m.,0.05,0,2.09,,7:20:59 p. m.,0.05,0,2.14,,7:19:24 p. m.,0.05,0,2.19,,0.05,0,2.122,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:05 p. m.,0.06,0,2.08,,7:24:29 p. m.,0.05,0,2.06,,7:22:44 p. m.,0.05,0,2.1,,7:21:01 p. m.,0.06,0,2.1,,7:19:25 p. m.,0.06,0,2.07,,0.056,0,2.082,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:07 p. m.,0.06,0,1.78,,7:24:31 p. m.,0.06,0,1.78,,7:22:46 p. m.,0.06,0,1.82,,7:21:03 p. m.,0.06,0,1.8,,7:19:27 p. m.,0.06,0,1.77,,0.06,0,1.79,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:09 p. m.,0.06,0,1.6,,7:24:32 p. m.,0.06,0,1.62,,7:22:48 p. m.,0.06,0,1.63,,7:21:05 p. m.,0.06,0,1.62,,7:19:29 p. m.,0.06,0,1.6,,0.06,0,1.614,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:10 p. m.,0.07,0,1.87,,7:24:34 p. m.,0.07,0,1.87,,7:22:50 p. m.,0.07,0,1.86,,7:21:06 p. m.,0.07,0,1.9,,7:19:31 p. m.,0.07,0,1.85,,0.07,0,1.87,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:12 p. m.,0.07,0,2.18,,7:24:36 p. m.,0.07,0,2.18,,7:22:51 p. m.,0.07,0,2.09,,7:21:08 p. m.,0.07,0,2.12,,7:19:32 p. m.,0.07,0,2.11,,0.07,0,2.136,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:14 p. m.,0.07,0,1.97,,7:24:38 p. m.,0.07,0,1.96,,7:22:53 p. m.,0.07,0,2,,7:21:10 p. m.,0.07,0,1.94,,7:19:34 p. m.,0.07,0,2,,0.07,0,1.974,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:16 p. m.,0.08,0,1.66,,7:24:39 p. m.,0.07,0,1.67,,7:22:55 p. m.,0.07,0,1.69,,7:21:12 p. m.,0.07,0,1.63,,7:19:36 p. m.,0.08,0,1.67,,0.074,0,1.664,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:17 p. m.,0.08,0,1.65,,7:24:41 p. m.,0.08,0,1.7,,7:22:57 p. m.,0.08,0,1.69,,7:21:14 p. m.,0.08,0,1.71,,7:19:38 p. m.,0.08,0,1.73,,0.08,0,1.696,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:19 p. m.,0.08,0,1.94,,7:24:43 p. m.,0.08,0,1.93,,7:22:59 p. m.,0.08,0,1.93,,7:21:15 p. m.,0.08,0,1.96,,7:19:39 p. m.,0.08,0,1.94,,0.08,0,1.94,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:21 p. m.,0.08,0,2.08,,7:24:45 p. m.,0.08,0,2.13,,7:23:00 p. m.,0.08,0,2.07,,7:21:17 p. m.,0.08,0,2.14,,7:19:41 p. m.,0.09,0,2.14,,0.082,0,2.112,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:23 p. m.,0.09,0,1.88,,7:24:46 p. m.,0.09,0,1.9,,7:23:02 p. m.,0.09,0,1.9,,7:21:19 p. m.,0.09,0,1.91,,7:19:43 p. m.,0.09,0,1.87,,0.09,0,1.892,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:25 p. m.,0.09,0,1.61,,7:24:48 p. m.,0.09,0,1.6,,7:23:04 p. m.,0.09,0,1.64,,7:21:21 p. m.,0.09,0,1.63,,7:19:45 p. m.,0.09,0,1.62,,0.09,0,1.62,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:26 p. m.,0.09,0,1.76,,7:24:50 p. m.,0.09,0,1.81,,7:23:06 p. m.,0.09,0,1.78,,7:21:22 p. m.,0.09,0,1.77,,7:19:47 p. m.,0.1,0,1.78,,0.092,0,1.78,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:28 p. m.,0.1,0,2.11,,7:24:52 p. m.,0.1,0,2.1,,7:23:07 p. m.,0.1,0,2.11,,7:21:24 p. m.,0.1,0,2.13,,7:19:48 p. m.,0.1,0,2.15,,0.1,0,2.12,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:30 p. m.,0.1,0,2.09,,7:24:54 p. m.,0.1,0,2.09,,7:23:09 p. m.,0.1,0,2.13,,7:21:26 p. m.,0.1,0,2.13,,7:19:50 p. m.,0.1,0,2.13,,0.1,0,2.114,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:32 p. m.,0.1,0,1.83,,7:24:55 p. m.,0.1,0,1.85,,7:23:11 p. m.,0.1,0,1.84,,7:21:28 p. m.,0.1,0,1.81,,7:19:52 p. m.,0.11,0,1.83,,0.102,0,1.832,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:33 p. m.,0.11,0,1.62,,7:24:57 p. m.,0.11,0,1.65,,7:23:13 p. m.,0.11,0,1.61,,7:21:29 p. m.,0.11,0,1.61,,7:19:54 p. m.,0.11,0,1.59,,0.11,0,1.616,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:35 p. m.,0.11,0,1.82,,7:24:59 p. m.,0.11,0,1.85,,7:23:14 p. m.,0.11,0,1.81,,7:21:31 p. m.,0.11,0,1.8,,7:19:55 p. m.,0.11,0,1.89,,0.11,0,1.834,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:37 p. m.,0.11,0,2.19,,7:25:01 p. m.,0.11,0,2.16,,7:23:16 p. m.,0.11,0,2.15,,7:21:33 p. m.,0.11,0,2.13,,7:19:57 p. m.,0.12,0,2.1,,0.112,0,2.146,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:39 p. m.,0.12,0,2.02,,7:25:02 p. m.,0.12,0,2.03,,7:23:18 p. m.,0.12,0,2.01,,7:21:35 p. m.,0.12,0,2.03,,7:19:59 p. m.,0.12,0,2.05,,0.12,0,2.028,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:40 p. m.,0.12,0,1.75,,7:25:04 p. m.,0.12,0,1.69,,7:23:20 p. m.,0.12,0,1.71,,7:21:37 p. m.,0.12,0,1.72,,7:20:01 p. m.,0.12,0,1.76,,0.12,0,1.726,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:42 p. m.,0.12,0,1.61,,7:25:06 p. m.,0.12,0,1.63,,7:23:22 p. m.,0.12,0,1.67,,7:21:38 p. m.,0.12,0,1.67,,7:20:02 p. m.,0.13,0,1.62,,0.122,0,1.64,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:26:44 p. m.,0.13,0,1.59,,7:25:08 p. m.,0.13,0,1.65,,7:23:23 p. m.,0.13,0,1.6,,7:21:40 p. m.,0.13,0,1.64,,7:20:04 p. m.,0.13,0,1.59,,0.13,0,1.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0,1.874761905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distancia 110 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORA,LED_ROJO,LED_VERDE,LED_AZUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:15 p. m.,"0,14",0,"0,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:17 p. m.,"0,14",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:19 p. m.,"0,14",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:20 p. m.,"0,15",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:22 p. m.,"0,15",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:24 p. m.,"0,16",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:26 p. m.,"0,16",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:27 p. m.,"0,16",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:29 p. m.,"0,16",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:31 p. m.,"0,17",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:33 p. m.,"0,17",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:34 p. m.,"0,17",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:36 p. m.,"0,17",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:38 p. m.,"0,18",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:40 p. m.,"0,18",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:42 p. m.,"0,19",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:43 p. m.,"0,19",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:45 p. m.,"0,19",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:47 p. m.,"0,19",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:49 p. m.,"0,19",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:50 p. m.,"0,2",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:52 p. m.,"0,21",0,"0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:54 p. m.,"0,2",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:56 p. m.,"0,2",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:57 p. m.,"0,21",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:34:59 p. m.,"0,21",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:35:01 p. m.,"0,22",0,"0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:35:03 p. m.,"0,22",0,"0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:35:05 p. m.,"0,22",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:35:06 p. m.,"0,22",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:35:08 p. m.,"0,23",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:35:10 p. m.,"0,23",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:35:12 p. m.,"0,24",0,"0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:35:13 p. m.,"0,24",0,"0,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:35:15 p. m.,"0,23",0,"0,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:35:17 p. m.,"0,24",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:35:19 p. m.,"0,24",0,"0,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:35:20 p. m.,"0,25",0,"0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:35:22 p. m.,"0,25",0,"0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:35:24 p. m.,"0,25",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:35:26 p. m.,"0,25",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:35:28 p. m.,"0,26",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distancia 120 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORA,LED_ROJO,LED_VERDE,LED_AZUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:36:36 p. m.,"0,13",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:36:38 p. m.,"0,14",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:36:40 p. m.,"0,15",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:36:42 p. m.,"0,15",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:36:44 p. m.,"0,16",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:36:45 p. m.,"0,15",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:36:47 p. m.,"0,16",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:36:49 p. m.,"0,16",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:36:51 p. m.,"0,17",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:36:52 p. m.,"0,17",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:36:54 p. m.,"0,17",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:36:56 p. m.,"0,17",0,"0,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:36:58 p. m.,"0,17",0,"0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:36:59 p. m.,"0,18",0,"0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:01 p. m.,"0,17",0,"0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:03 p. m.,"0,18",0,"0,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:05 p. m.,"0,18",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:07 p. m.,"0,19",0,"0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:08 p. m.,"0,19",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:10 p. m.,"0,19",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:12 p. m.,"0,19",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:14 p. m.,"0,2",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:15 p. m.,"0,2",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:17 p. m.,"0,2",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:19 p. m.,"0,2",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:21 p. m.,"0,21",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:22 p. m.,"0,21",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:24 p. m.,"0,21",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:26 p. m.,"0,22",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:28 p. m.,"0,22",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:30 p. m.,"0,23",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:31 p. m.,"0,23",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:33 p. m.,"0,23",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:35 p. m.,"0,23",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:37 p. m.,"0,23",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:38 p. m.,"0,24",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:40 p. m.,"0,24",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:42 p. m.,"0,24",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:44 p. m.,"0,24",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:45 p. m.,"0,24",0,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:47 p. m.,"0,25",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:37:49 p. m.,"0,25",0,"0,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distancia 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
