Distancia 0 mm ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,V_Rojo,V_Verde,V_Azul,,,,HORA,Numero_bits, Error_total,,HORA,Numero_bits, Error_total,,HORA,Numero_bits, Error_total,,HORA,Numero_bits, Error_total,,HORA,Numero_bits, Error_total,,Numero Bits,Error total,,Numero Bits,Error total,,
7:16:31 p. m.,0.06,0,2.24,,7:14:54 p. m.,0.06,0,2.23,,7:13:16 p. m.,0.06,0,2.24,,7:11:33 p. m.,0.06,0,2.26,,7:09:56 p. m.,0.08,0,2.21,,0.064,0,2.236,,,,7:07:42 p. m.,25,52.08,,7:07:42 p. m.,25,52.08,,7:05:50 p. m.,25,52.08,,7:04:01 p. m.,25,52.08,,7:02:20 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:16:33 p. m.,0.07,0,2.2,,7:14:56 p. m.,0.07,0,2.19,,7:13:18 p. m.,0.07,0,2.15,,7:11:34 p. m.,0.07,0,2.16,,7:09:58 p. m.,0.09,0,2.16,,0.074,0,2.172,,,,7:07:44 p. m.,25,52.08,,7:07:44 p. m.,25,52.08,,7:05:53 p. m.,25,52.08,,7:04:03 p. m.,25,52.08,,7:02:22 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:16:35 p. m.,0.07,0,1.8,,7:14:58 p. m.,0.07,0,1.86,,7:13:19 p. m.,0.07,0,1.88,,7:11:36 p. m.,0.07,0,1.89,,7:09:59 p. m.,0.09,0,1.85,,0.074,0,1.856,,,,7:07:45 p. m.,25,52.08,,7:07:45 p. m.,25,52.08,,7:05:54 p. m.,25,52.08,,7:04:04 p. m.,25,52.08,,7:02:23 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:16:36 p. m.,0.07,0,1.7,,7:14:59 p. m.,0.07,0,1.67,,7:13:21 p. m.,0.07,0,1.7,,7:11:38 p. m.,0.08,0,1.68,,7:10:01 p. m.,0.1,0,1.7,,0.078,0,1.69,,,,7:07:46 p. m.,25,52.08,,7:07:46 p. m.,25,52.08,,7:05:56 p. m.,25,52.08,,7:04:06 p. m.,25,52.08,,7:02:25 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:16:38 p. m.,0.08,0,1.97,,7:15:01 p. m.,0.08,0,1.98,,7:13:23 p. m.,0.08,0,1.95,,7:11:40 p. m.,0.08,0,1.94,,7:10:03 p. m.,0.1,0,2,,0.084,0,1.968,,,,7:07:48 p. m.,25,52.08,,7:07:48 p. m.,25,52.08,,7:05:57 p. m.,25,52.08,,7:04:09 p. m.,25,52.08,,7:02:26 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:16:40 p. m.,0.08,0,2.29,,7:15:03 p. m.,0.08,0,2.28,,7:13:25 p. m.,0.08,0,2.28,,7:11:41 p. m.,0.08,0,2.26,,7:10:05 p. m.,0.1,0,2.25,,0.084,0,2.272,,,,7:07:49 p. m.,25,52.08,,7:07:49 p. m.,25,52.08,,7:05:59 p. m.,26,54.17,,7:04:10 p. m.,25,52.08,,7:02:29 p. m.,25,52.08,,25.2,52.498,,25,52.5,,
7:16:42 p. m.,0.09,0,2.09,,7:15:05 p. m.,0.08,0,2.11,,7:13:26 p. m.,0.09,0,2.08,,7:11:43 p. m.,0.09,0,2.1,,7:10:06 p. m.,0.11,0,2.06,,0.092,0,2.088,,,,7:07:51 p. m.,25,52.08,,7:07:51 p. m.,25,52.08,,7:06:02 p. m.,25,52.08,,7:04:11 p. m.,25,52.08,,7:02:30 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:16:44 p. m.,0.09,0,1.66,,7:15:06 p. m.,0.09,0,1.7,,7:13:28 p. m.,0.09,0,1.76,,7:11:45 p. m.,0.09,0,1.8,,7:10:08 p. m.,0.11,0,1.74,,0.094,0,1.732,,,,7:07:53 p. m.,25,52.08,,7:07:53 p. m.,25,52.08,,7:06:03 p. m.,25,52.08,,7:04:13 p. m.,25,52.08,,7:02:32 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:16:45 p. m.,0.09,0,1.75,,7:15:08 p. m.,0.09,0,1.72,,7:13:30 p. m.,0.09,0,1.74,,7:11:47 p. m.,0.09,0,1.83,,7:10:10 p. m.,0.12,0,1.82,,0.096,0,1.772,,,,7:07:55 p. m.,25,52.08,,7:07:55 p. m.,25,52.08,,7:06:05 p. m.,25,52.08,,7:04:15 p. m.,25,52.08,,7:02:33 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:16:47 p. m.,0.1,0,2.11,,7:15:10 p. m.,0.1,0,2.09,,7:13:32 p. m.,0.1,0,2.06,,7:11:49 p. m.,0.1,0,2.04,,7:10:12 p. m.,0.12,0,2.09,,0.104,0,2.078,,,,7:07:56 p. m.,25,52.08,,7:07:56 p. m.,25,52.08,,7:06:06 p. m.,25,52.08,,7:04:16 p. m.,25,52.08,,7:02:35 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:16:49 p. m.,0.1,0,2.3,,7:15:12 p. m.,0.1,0,2.27,,7:13:33 p. m.,0.1,0,2.19,,7:11:50 p. m.,0.1,0,2.22,,7:10:14 p. m.,0.12,0,2.23,,0.104,0,2.242,,,,7:07:58 p. m.,25,52.08,,7:07:58 p. m.,25,52.08,,7:06:08 p. m.,25,52.08,,7:04:17 p. m.,25,52.08,,7:02:38 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:16:51 p. m.,0.1,0,2.03,,7:15:13 p. m.,0.1,0,2.02,,7:13:35 p. m.,0.1,0,2,,7:11:52 p. m.,0.11,0,2,,7:10:18 p. m.,0.13,0,2.04,,0.108,0,2.018,,,,7:08:00 p. m.,25,52.08,,7:08:00 p. m.,25,52.08,,7:06:09 p. m.,25,52.08,,7:04:19 p. m.,25,52.08,,7:02:39 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:16:52 p. m.,0.11,0,1.68,,7:15:15 p. m.,0.11,0,1.74,,7:13:37 p. m.,0.11,0,1.72,,7:11:54 p. m.,0.11,0,1.71,,7:10:18 p. m.,0.13,0,1.65,,0.114,0,1.7,,,,7:08:01 p. m.,25,52.08,,7:08:01 p. m.,25,52.08,,7:06:10 p. m.,25,52.08,,7:04:20 p. m.,25,52.08,,7:02:41 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:16:54 p. m.,0.11,0,1.83,,7:15:17 p. m.,0.11,0,1.9,,7:13:39 p. m.,0.11,0,1.89,,7:11:56 p. m.,0.11,0,1.88,,7:10:19 p. m.,0.14,0,1.85,,0.116,0,1.87,,,,7:08:02 p. m.,25,52.08,,7:08:02 p. m.,25,52.08,,7:06:12 p. m.,25,52.08,,7:04:22 p. m.,25,52.08,,7:02:42 p. m.,26,54.17,,25,52.08,,25,52.08,,
7:16:56 p. m.,0.12,0,2.24,,7:15:19 p. m.,0.11,0,2.23,,7:13:41 p. m.,0.12,0,2.17,,7:11:57 p. m.,0.12,0,2.28,,7:10:21 p. m.,0.14,0,2.23,,0.122,0,2.23,,,,7:08:04 p. m.,25,52.08,,7:08:04 p. m.,25,52.08,,7:06:13 p. m.,25,52.08,,7:04:26 p. m.,25,52.08,,7:02:46 p. m.,25,52.08,,25.2,52.498,,25,52.5,,
7:16:58 p. m.,0.12,0,2.21,,7:15:21 p. m.,0.12,0,2.28,,7:13:42 p. m.,0.12,0,2.21,,7:11:59 p. m.,0.12,0,2.23,,7:10:22 p. m.,0.14,0,2.26,,0.124,0,2.238,,,,7:08:05 p. m.,25,52.08,,7:08:05 p. m.,25,52.08,,7:06:15 p. m.,25,52.08,,7:04:27 p. m.,25,52.08,,7:02:48 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:16:59 p. m.,0.12,0,1.93,,7:15:22 p. m.,0.12,0,1.93,,7:13:44 p. m.,0.12,0,1.93,,7:12:01 p. m.,0.13,0,1.93,,7:10:24 p. m.,0.15,0,1.89,,0.128,0,1.922,,,,7:08:07 p. m.,25,52.08,,7:08:07 p. m.,25,52.08,,7:06:19 p. m.,25,52.08,,7:04:29 p. m.,25,52.08,,7:02:49 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:17:01 p. m.,0.13,0,1.73,,7:15:24 p. m.,0.13,0,1.67,,7:13:46 p. m.,0.13,0,1.71,,7:12:03 p. m.,0.13,0,1.68,,7:10:26 p. m.,0.15,0,1.68,,0.134,0,1.694,,,,7:08:08 p. m.,25,52.08,,7:08:08 p. m.,25,52.08,,7:06:21 p. m.,25,52.08,,7:04:31 p. m.,25,52.08,,7:02:51 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:17:03 p. m.,0.13,0,1.95,,7:15:26 p. m.,0.13,0,1.94,,7:13:48 p. m.,0.13,0,1.95,,7:12:04 p. m.,0.13,0,1.97,,7:10:28 p. m.,0.16,0,1.91,,0.136,0,1.944,,,,7:08:11 p. m.,25,52.08,,7:08:11 p. m.,25,52.08,,7:06:22 p. m.,25,52.08,,7:04:33 p. m.,25,52.08,,7:02:57 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:17:05 p. m.,0.14,0,2.25,,7:15:28 p. m.,0.13,0,2.26,,7:13:49 p. m.,0.14,0,2.26,,7:12:06 p. m.,0.14,0,2.26,,7:10:29 p. m.,0.16,0,2.24,,0.142,0,2.254,,,,7:08:12 p. m.,25,52.08,,7:08:12 p. m.,25,52.08,,7:06:24 p. m.,25,52.08,,7:04:35 p. m.,25,52.08,,7:02:57 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:17:07 p. m.,0.14,0,2.15,,7:15:29 p. m.,0.14,0,2.14,,7:13:51 p. m.,0.14,0,2.14,,7:12:08 p. m.,0.14,0,2.17,,7:10:31 p. m.,0.16,0.01,2.16,,0.144,0.002,2.152,,,,7:08:14 p. m.,25,52.08,,7:08:14 p. m.,25,52.08,,7:06:25 p. m.,25,52.08,,7:04:36 p. m.,25,52.08,,7:02:57 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:17:08 p. m.,0.14,0,1.73,,7:15:31 p. m.,0.14,0,1.75,,7:13:53 p. m.,0.14,0,1.81,,7:12:10 p. m.,0.15,0,1.84,,7:10:33 p. m.,0.17,0.01,1.81,,0.148,0.002,1.788,,,,7:08:15 p. m.,26,54.17,,7:08:15 p. m.,26,54.17,,7:06:27 p. m.,25,52.08,,7:04:38 p. m.,25,52.08,,7:02:58 p. m.,25,52.08,,25.4,52.916,,25,52.92,,
7:17:10 p. m.,0.15,0,1.74,,7:15:33 p. m.,0.15,0,1.73,,7:13:55 p. m.,0.15,0,1.71,,7:12:12 p. m.,0.15,0,1.68,,7:10:35 p. m.,0.17,0.01,1.73,,0.154,0.002,1.718,,,,7:08:20 p. m.,25,52.08,,7:08:20 p. m.,25,52.08,,7:06:28 p. m.,25,52.08,,7:04:38 p. m.,25,52.08,,7:02:58 p. m.,25,52.08,,25,52.08,,25,52.08,,
7:17:12 p. m.,0.15,0,1.71,,7:15:35 p. m.,0.15,0,1.69,,7:13:56 p. m.,0.15,0,1.71,,7:12:13 p. m.,0.15,0,1.68,,7:10:37 p. m.,0.18,0.01,1.68,,0.156,0.002,1.694,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,52.14,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.076095238,0.000190476,1.970285714,,,,,,,,,,,,,,,,,,,,,,,,,,,52.08333333,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distancia 100 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A esta distancia no hay recepción de datos ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Numero Bits,Error total,,Numero Bits,Error total,,
HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,V_Rojo,V_Verde,V_Azul,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:25:32 p. m.,0,0,2.34,,7:23:55 p. m.,0,0,1.98,,7:22:11 p. m.,0,0,2.07,,7:20:28 p. m.,0,0,2.06,,7:18:52 p. m.,0,0,2.12,,0,0,2.114,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
